bg,bg,bg,bg,bg,bg,bg,bg,bg,bg,bg,bg,bg,bg,bg,bg
bg,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,bg
bg,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,bg
bg,ts,ts,ts,ts,ts,ts,ts,tg,ts,ts,ts,ts,ts,ts,bg
bg,ts,tg,tg,tg,ts,ts,ts,bg,ts,tg,tg,tg,ts,ts,bg
bg,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,bg
bg,ts,ts,tg,tg,tg,tg,ts,ts,ts,tg,tg,tg,ts,ts,bg
bg,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,bg
bg,ts,ts,ts,ts,tg,tg,tg,tg,tg,tg,ts,ts,ts,ts,bg
bg,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,bg
bg,ts,tg,tg,tg,ts,ts,ts,tg,ts,ts,tg,tg,ts,ts,bg
bg,ts,ts,ts,ts,ts,ts,ts,bg,ts,ts,ts,ts,ts,ts,bg
bg,ts,ts,ts,tg,tg,tg,ts,ts,ts,tg,tg,tg,ts,ts,bg
bg,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,bg
bg,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,ts,bg
bg,tg,tg,tg,tg,tg,tg,tg,tg,tg,tg,tg,tg,tg,tg,bg
